epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5714,0.82812,0.90422,1.18923,0.90553,0.93807,0.97358,0.78694,0.55725,0.35726,1.04447,0.0701807,0.00331325,0.00331325
2,190.641,0.69724,0.45484,1.0467,0.92482,0.95094,0.9777,0.81675,0.55422,0.36388,1.01684,0.0401149,0.00658079,0.00658079
3,284.143,0.71426,0.45913,1.05138,0.9506,0.94379,0.98116,0.81747,0.59045,0.39118,1.026,0.00998312,0.00978232,0.00978232
4,377.519,0.71498,0.45659,1.06098,0.94848,0.91283,0.9689,0.81231,0.55459,0.39584,1.00584,0.009703,0.009703,0.009703
5,470.705,0.68886,0.42975,1.05519,0.92271,0.93688,0.97593,0.83485,0.57359,0.35967,1.02067,0.009604,0.009604,0.009604
6,563.849,0.67403,0.41695,1.05228,0.94734,0.94312,0.98124,0.81957,0.55673,0.35271,1.02689,0.009505,0.009505,0.009505
7,657.244,0.65803,0.40024,1.04992,0.9611,0.9577,0.98701,0.8564,0.47298,0.29419,0.95829,0.009406,0.009406,0.009406
8,749.93,0.64781,0.39457,1.03727,0.97192,0.93289,0.98401,0.84352,0.5204,0.31682,1.00406,0.009307,0.009307,0.009307
9,842.754,0.63593,0.38328,1.0395,0.94922,0.95513,0.98504,0.85707,0.47948,0.27406,0.97329,0.009208,0.009208,0.009208
10,935.963,0.63851,0.3763,1.04038,0.95885,0.95333,0.98774,0.86386,0.46577,0.28032,0.97081,0.009109,0.009109,0.009109
11,1028.94,0.62612,0.37037,1.03365,0.95148,0.96269,0.98624,0.86054,0.47742,0.28077,0.97473,0.00901,0.00901,0.00901
12,1121.32,0.61682,0.36543,1.03657,0.96667,0.97146,0.98926,0.86517,0.45783,0.2608,0.97224,0.008911,0.008911,0.008911
13,1213.81,0.61394,0.36215,1.03174,0.96384,0.96954,0.98977,0.85984,0.46516,0.27375,0.96717,0.008812,0.008812,0.008812
14,1306.89,0.60815,0.35417,1.03089,0.96771,0.96703,0.98977,0.85599,0.47706,0.25877,0.9715,0.008713,0.008713,0.008713
15,1399.89,0.60233,0.35037,1.02449,0.94348,0.96919,0.98612,0.85599,0.47179,0.28277,0.96896,0.008614,0.008614,0.008614
16,1492.56,0.6003,0.35136,1.02491,0.95436,0.95586,0.98629,0.85149,0.50978,0.29889,0.99274,0.008515,0.008515,0.008515
17,1585.25,0.5984,0.34347,1.02353,0.96032,0.97416,0.98766,0.86711,0.44478,0.26045,0.95916,0.008416,0.008416,0.008416
18,1678.07,0.58809,0.34216,1.01797,0.96193,0.96553,0.98663,0.86557,0.45417,0.2566,0.96071,0.008317,0.008317,0.008317
19,1770.33,0.58657,0.33962,1.01856,0.9529,0.97233,0.98404,0.86423,0.45304,0.2609,0.96168,0.008218,0.008218,0.008218
20,1862.83,0.58539,0.33439,1.01262,0.97672,0.95604,0.98939,0.87964,0.44279,0.24968,0.95913,0.008119,0.008119,0.008119
21,1955.76,0.5767,0.32854,1.01162,0.97669,0.94978,0.98876,0.86776,0.45033,0.24407,0.96822,0.00802,0.00802,0.00802
22,2048.17,0.57907,0.32925,1.01763,0.95907,0.97098,0.98741,0.86272,0.46272,0.25638,0.96965,0.007921,0.007921,0.007921
23,2140.8,0.57343,0.3276,1.00639,0.96924,0.97483,0.98972,0.87472,0.44302,0.24892,0.96514,0.007822,0.007822,0.007822
24,2233.53,0.574,0.32559,1.00988,0.95076,0.98306,0.99008,0.88224,0.43841,0.24624,0.95606,0.007723,0.007723,0.007723
25,2326.9,0.56789,0.31809,1.00781,0.939,0.96999,0.98827,0.86521,0.46836,0.25366,0.96668,0.007624,0.007624,0.007624
26,2419.1,0.56457,0.31926,0.9982,0.95874,0.97169,0.98975,0.88231,0.43975,0.23843,0.95806,0.007525,0.007525,0.007525
27,2511.92,0.55695,0.31182,1.0016,0.96329,0.97658,0.98953,0.87449,0.45068,0.24805,0.96391,0.007426,0.007426,0.007426
28,2604.9,0.55053,0.3105,0.99802,0.9571,0.97225,0.98879,0.88269,0.4363,0.24779,0.95663,0.007327,0.007327,0.007327
29,2697.84,0.55605,0.30948,0.99758,0.96683,0.97587,0.98472,0.86719,0.44034,0.23787,0.95793,0.007228,0.007228,0.007228
30,2790.3,0.55687,0.31012,0.99432,0.96264,0.97299,0.98986,0.88055,0.44856,0.23924,0.96235,0.007129,0.007129,0.007129
31,2883.02,0.54453,0.30508,0.99179,0.95818,0.97754,0.98928,0.88636,0.42545,0.23453,0.94933,0.00703,0.00703,0.00703
32,2976.64,0.53928,0.29892,0.98922,0.95257,0.97786,0.98856,0.87791,0.43535,0.23917,0.95666,0.006931,0.006931,0.006931
33,3069.21,0.54386,0.30393,0.99284,0.96302,0.97158,0.98988,0.87313,0.42799,0.24325,0.95142,0.006832,0.006832,0.006832
34,3161.75,0.54825,0.3021,0.98889,0.96948,0.96184,0.98903,0.88414,0.43432,0.23135,0.95449,0.006733,0.006733,0.006733
35,3254.56,0.53713,0.29679,0.99453,0.9493,0.97766,0.98861,0.87729,0.43559,0.23311,0.95967,0.006634,0.006634,0.006634
36,3347.49,0.53612,0.29732,0.99269,0.96714,0.97602,0.98931,0.87328,0.4347,0.23315,0.95516,0.006535,0.006535,0.006535
37,3439.79,0.53322,0.29538,0.9867,0.96837,0.96402,0.9901,0.87157,0.4445,0.23397,0.96275,0.006436,0.006436,0.006436
38,3532.3,0.52657,0.28778,0.98573,0.96999,0.97336,0.99004,0.87691,0.43359,0.22948,0.95888,0.006337,0.006337,0.006337
39,3625.49,0.52753,0.28563,0.98293,0.96956,0.97389,0.99094,0.88336,0.4362,0.22593,0.96253,0.006238,0.006238,0.006238
40,3718.25,0.52367,0.2849,0.98114,0.97053,0.96509,0.99034,0.88272,0.43349,0.23205,0.95514,0.006139,0.006139,0.006139
41,3810.75,0.51806,0.28151,0.98014,0.96817,0.97455,0.9898,0.88567,0.43416,0.22407,0.95949,0.00604,0.00604,0.00604
42,3903.61,0.52022,0.28254,0.97628,0.97161,0.96378,0.99086,0.88527,0.43771,0.23292,0.96076,0.005941,0.005941,0.005941
43,3996.79,0.51774,0.28127,0.97948,0.96006,0.9683,0.98869,0.88461,0.42619,0.22629,0.95331,0.005842,0.005842,0.005842
44,4089.49,0.51678,0.2796,0.97801,0.9748,0.95091,0.98809,0.87857,0.43068,0.22602,0.95473,0.005743,0.005743,0.005743
45,4182.24,0.51207,0.27826,0.97115,0.95347,0.97388,0.98621,0.87647,0.43209,0.22936,0.9507,0.005644,0.005644,0.005644
46,4275.06,0.51051,0.27855,0.96258,0.96582,0.96889,0.98959,0.87778,0.43187,0.22713,0.95315,0.005545,0.005545,0.005545
47,4368.21,0.50769,0.27458,0.96595,0.97517,0.9497,0.98796,0.8803,0.43514,0.23075,0.95947,0.005446,0.005446,0.005446
48,4460.55,0.50609,0.27122,0.96852,0.97902,0.95531,0.99051,0.88401,0.42461,0.22478,0.95559,0.005347,0.005347,0.005347
49,4553.27,0.49897,0.26813,0.96456,0.9713,0.96551,0.98725,0.87759,0.42729,0.22543,0.95654,0.005248,0.005248,0.005248
50,4646.25,0.49733,0.26665,0.9695,0.96962,0.95088,0.9877,0.87655,0.43863,0.23075,0.96274,0.005149,0.005149,0.005149
51,4738.92,0.49853,0.26766,0.96797,0.97952,0.95837,0.99064,0.88418,0.43527,0.22701,0.95582,0.00505,0.00505,0.00505
